|soundName|personName|TRN/TST|soundPath|wrdPath|phnPath|txtPath|gender|region|age|recordDate|birthDate|height|race|education|phn|prompt|start|end
0|sa1|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SA1.wav|TIMIT/TRAIN/DR6/MABC0/SA1.wrd|TIMIT/TRAIN/DR6/MABC0/SA1.phn|TIMIT/TRAIN/DR6/MABC0/SA1.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# sh iy hv ae zh ax-h dcl d aa r kcl s ux dx ix n gcl g r iy s ix w aa sh epi w uh dx axr ao l y ih axr h#|She had your dark suit in greasy wash water all|0|43418
1|sa2|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SA2.wav|TIMIT/TRAIN/DR6/MABC0/SA2.wrd|TIMIT/TRAIN/DR6/MABC0/SA2.phn|TIMIT/TRAIN/DR6/MABC0/SA2.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# d ow nx ae s kcl m ix dx ix kcl k eh r ih ix nx oy l ix r ae gcl l ay kcl k dh ae tcl h#|Don't ask me to carry an oily rag like|0|35840
2|sx331|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX331.wav|TIMIT/TRAIN/DR6/MABC0/SX331.wrd|TIMIT/TRAIN/DR6/MABC0/SX331.phn|TIMIT/TRAIN/DR6/MABC0/SX331.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# dh ix bcl b ih gcl d ao gcl l ah v dcl t ax-h tcl ch ux ah nx iy ow l dcl r ae gcl d aa l h#|The big dog loved to chew on the old rag|0|39322
3|sx61|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX61.wav|TIMIT/TRAIN/DR6/MABC0/SX61.wrd|TIMIT/TRAIN/DR6/MABC0/SX61.phn|TIMIT/TRAIN/DR6/MABC0/SX61.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# ch aa kcl k l ix q en r ow z ix z n eh v axr f ey l z axr r ax m ae nx ix kcl g ih f tcl t h#|Chocolate and roses never fail as a romantic|0|39936
4|sx241|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX241.wav|TIMIT/TRAIN/DR6/MABC0/SX241.wrd|TIMIT/TRAIN/DR6/MABC0/SX241.phn|TIMIT/TRAIN/DR6/MABC0/SX241.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# dh hv ao w ey ow pcl p ix n z ix n ux ix hh y ux dcl jh tcl ch ey m bcl b axr h#|The hallway opens into a huge|0|31949
5|sx421|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX421.wav|TIMIT/TRAIN/DR6/MABC0/SX421.wrd|TIMIT/TRAIN/DR6/MABC0/SX421.phn|TIMIT/TRAIN/DR6/MABC0/SX421.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# dh uh z hh ux tcl t iy tcl sh v ae l y ux z f axr s tcl t ix bcl b aa l ix sh tcl ch iy dx ix ng h#|Those who teach values first abolish|0|37888
6|sx151|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SX151.wav|TIMIT/TRAIN/DR6/MABC0/SX151.wrd|TIMIT/TRAIN/DR6/MABC0/SX151.phn|TIMIT/TRAIN/DR6/MABC0/SX151.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# dh ix pcl p r iy v iy ix s pcl p iy kcl k er pcl p axr z eh nx ix dx ae m bcl b ih gcl y ux ix s r ix z ah l tcl t s h#|The previous speaker presented ambiguous|0|49050
7|si781|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SI781.wav|TIMIT/TRAIN/DR6/MABC0/SI781.wrd|TIMIT/TRAIN/DR6/MABC0/SI781.phn|TIMIT/TRAIN/DR6/MABC0/SI781.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# q gcl g eh n iy z bcl b l aa kcl s w axr s eh dx ix n r eh z en s ae tcl ch r ix dx ix dcl g l ae s kcl k l ao th ix n ey l dcl d h#|Again, these blocks were set in resin-saturated glass cloth and|0|59085
8|si1620|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SI1620.wav|TIMIT/TRAIN/DR6/MABC0/SI1620.wrd|TIMIT/TRAIN/DR6/MABC0/SI1620.phn|TIMIT/TRAIN/DR6/MABC0/SI1620.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# hh ih z hh eh dcl f l aa pcl b ae kcl k h#|His head flopped|0|22426
9|si2041|ABC0|TRN|TIMIT/TRAIN/DR6/MABC0/SI2041.wav|TIMIT/TRAIN/DR6/MABC0/SI2041.wrd|TIMIT/TRAIN/DR6/MABC0/SI2041.phn|TIMIT/TRAIN/DR6/MABC0/SI2041.txt|M|New York City|25|03/03/86|06/17/60|180.34|WHT|BS |h# dh sh aa q r axr v er v axr ey dx ix dx ix n dcl d em ih nx ix sh ix ng w ix pcl p l ae sh ix z v s aw n dcl d h#|The shot reverberated in diminishing whiplashes of|0|45364
